file	field_path	verdict	notes
lambdafunction.aws.kropath.run.yaml	spec.role	omit	Required field; "" when IAM role CR not ready. Lambda can't be created without role. 2-flag family.
memorydbcluster.aws.kropath.run.yaml	spec.engineVersion	escalate	Part of MemoryDB cluster with 3 omit-candidate fields. Escalate to KRO-928.
memorydbcluster.aws.kropath.run.yaml	spec.kmsKeyID	escalate	Same family — KRO-928.
memorydbcluster.aws.kropath.run.yaml	spec.nodeType	escalate	Same family (required field) — KRO-928.
rdscluster.aws.kropath.run.yaml	spec.databaseName	escalate	Part of RDS cluster with 13 omit-candidate fields. Escalate to KRO-928.
rdscluster.aws.kropath.run.yaml	spec.dbClusterInstanceClass	escalate	Same family — KRO-928.
rdscluster.aws.kropath.run.yaml	spec.dbClusterParameterGroupName	escalate	Same family — KRO-928.
rdscluster.aws.kropath.run.yaml	spec.dbSubnetGroupName	escalate	Same family — KRO-928.
rdscluster.aws.kropath.run.yaml	spec.engineMode	escalate	Same family — KRO-928.
rdscluster.aws.kropath.run.yaml	spec.engineVersion	escalate	Same family — KRO-928.
rdscluster.aws.kropath.run.yaml	spec.globalClusterIdentifier	escalate	Same family — KRO-928.
rdscluster.aws.kropath.run.yaml	spec.kmsKeyID	escalate	Same family — KRO-928.
rdscluster.aws.kropath.run.yaml	spec.masterUsername	escalate	Same family — KRO-928.
rdscluster.aws.kropath.run.yaml	spec.replicationSourceIdentifier	escalate	Same family — KRO-928.
rdscluster.aws.kropath.run.yaml	spec.snapshotIdentifier	escalate	Same family — KRO-928.
rdscluster.aws.kropath.run.yaml	spec.sourceDBClusterIdentifier	escalate	Same family — KRO-928.
rdsinstance.aws.kropath.run.yaml	spec.availabilityZone	escalate	Part of RDS instance with 9 omit-candidate fields. Escalate to KRO-928.
rdsinstance.aws.kropath.run.yaml	spec.dbClusterIdentifier	escalate	Same family — KRO-928.
rdsinstance.aws.kropath.run.yaml	spec.dbName	escalate	Same family — KRO-928.
rdsinstance.aws.kropath.run.yaml	spec.dbParameterGroupName	escalate	Same family — KRO-928.
rdsinstance.aws.kropath.run.yaml	spec.dbSnapshotIdentifier	escalate	Same family — KRO-928.
rdsinstance.aws.kropath.run.yaml	spec.dbSubnetGroupName	escalate	Same family — KRO-928.
rdsinstance.aws.kropath.run.yaml	spec.engineVersion	escalate	Same family — KRO-928.
rdsinstance.aws.kropath.run.yaml	spec.kmsKeyID	escalate	Same family — KRO-928.
rdsinstance.aws.kropath.run.yaml	spec.masterUsername	escalate	Same family — KRO-928.
secretsmanagersecret.aws.kropath.run.yaml	spec.kmsKeyID	omit	Optional KMS key for secret encryption. "" causes ACK API error. 1-flag family (replicaRegions is a different concern).
secretsmanagersecret.aws.kropath.run.yaml	spec.replicaRegions	benign	Complex list: "" appears inside individual region items' kmsKeyID field (not the list itself). Each region's kmsKeyID should use omit logic but that's per-item, not per-list. Needs deeper review.
ssmpatchbaseline.aws.kropath.run.yaml	spec.approvedPatchesComplianceLevel	escalate	Part of SSM patch baseline with 3 omit-candidate fields. Escalate to KRO-928.
ssmpatchbaseline.aws.kropath.run.yaml	spec.operatingSystem	escalate	Same family — KRO-928.
ssmpatchbaseline.aws.kropath.run.yaml	spec.rejectedPatchesAction	escalate	Same family — KRO-928.
